town_code,town_name,population,size,region,coastal,work_town_code,work_town_name,work_town_size,job_density,income,university,perc_age_35_to_64_l4,pop_in_ks4,perc_age_18_l2,perc_age_18_l3,perc_age_19_full_time_higher_ed,perc_age_19_sustained_further_ed,perc_age_19_apprenticeships,perc_age_19_sustained_emp_over_0,perc_age_19_sustained_emp_over_10000,perc_age_22_l1_to_l2,perc_age_22_l3_to_l5,perc_age_22_l6_to_l8,avg_level_age_22,education_score
E34000007,Carlton in Lindrick BUA,5456,Small Towns,East Midlands,Non-coastal,E30000291,Worksop and Retford,Majority town and city (small),Residential,Higher deprivation towns,No university,Low,65,72.30769231,50.76923077,30.76923077,21.53846154,NA,52.30769231,36.92307692,34.9,39.7,NA,3.323076923,-0.533750422
E34000016,Dorchester (West Dorset) BUA,19060,Small Towns,South West,Non-coastal,E30000046,Dorchester and Weymouth,Majority town and city (small),Working,Mid deprivation towns,No university,Medium,239,85.71428571,60.08403361,41.84100418,13.38912134,10.041841,51.0460251,24.68619247,21.7,44.6,33.3,3.732217573,1.952018749
E34000020,Ely BUA,19090,Small Towns,East of England,Non-coastal,E30000186,Cambridge,Majority town and city (Large Towns),Working,Lower deprivation towns,No university,Medium,155,83.87096774,45.80645161,35.48387097,10.96774194,7.741935484,57.41935484,27.74193548,34.4,31.2,32.5,3.548387097,-1.044127985
E34000026,Market Weighton BUA,6429,Small Towns,Yorkshire and The Humber,Non-coastal,E30000220,Hull,Majority town and city (Large Towns),Residential,Lower deprivation towns,No university,Medium,58,91.22807018,49.12280702,25.86206897,25.86206897,NA,58.62068966,31.03448276,NA,66.1,NA,3.482758621,-1.249261949
E34000027,Downham Market BUA,10884,Small Towns,East of England,Non-coastal,E30000225,King's Lynn,Majority rural,Mixed,Higher deprivation towns,No university,Low,93,78.49462366,40.86021505,26.88172043,20.43010753,15.05376344,55.91397849,30.10752688,32.6,44.2,NA,3.161290323,-1.169078452
E34000039,Penrith BUA,15181,Small Towns,North West,Non-coastal,E30000106,Penrith,Majority rural,Working,Lower deprivation towns,No university,Low,158,91.13924051,46.20253165,31.64556962,16.4556962,12.65822785,62.02531646,37.34177215,29.4,40,28.1,3.474683544,0.84513109
E34000048,Bolsover BUA,11754,Small Towns,East Midlands,Non-coastal,E30000190,Chesterfield,Majority town and city (Large Towns),Residential,Higher deprivation towns,No university,Low,118,76.27118644,37.28813559,21.18644068,27.11864407,20.33898305,50.84745763,26.27118644,34.5,47.9,NA,3.101694915,-3.717919688
E34000055,March BUA,21051,Medium Towns,East of England,Non-coastal,E30000287,Wisbech,Majority town and city (small),Residential,Higher deprivation towns,No university,Low,235,84.25531915,40.42553191,25.53191489,17.44680851,10.21276596,47.65957447,26.80851064,37.8,37.8,23.6,3.285106383,-2.171307159
E34000056,Southam BUA,6567,Small Towns,West Midlands,Non-coastal,E30000228,Leamington Spa,Majority town and city (small),Working,Lower deprivation towns,No university,Medium,92,90.2173913,67.39130435,38.04347826,21.73913043,16.30434783,52.17391304,25,19.6,47.8,32.6,3.847826087,6.437661398
E34000067,Royston BUA,15781,Small Towns,East of England,Non-coastal,E30000186,Cambridge,Majority town and city (Large Towns),Working,Lower deprivation towns,No university,Medium,169,82.24852071,53.84615385,23.66863905,21.89349112,14.20118343,57.98816568,39.05325444,23.7,50.9,23.7,3.384615385,0.29540337
